Selected Location,SitsinState,"Zip Code Tabulation Area, 2020","Estimated median income of a household, between 2020-2024.","Estimated median value of an owner-occupied home, between 2020-2024."
"Maricopa (County, 2022)",AZ,85003,60461,616800
"Maricopa (County, 2022)",AZ,85004,73750,417400
"Maricopa (County, 2022)",AZ,85006,58248,408100
"Maricopa (County, 2022)",AZ,85007,63616,480600
"Maricopa (County, 2022)",AZ,85008,66353,358000
"Maricopa (County, 2022)",AZ,85009,52054,236100
"Maricopa (County, 2022)",AZ,85012,86620,735000
"Maricopa (County, 2022)",AZ,85013,71966,567700
"Maricopa (County, 2022)",AZ,85014,66731,476100
"Maricopa (County, 2022)",AZ,85015,54874,345000
"Maricopa (County, 2022)",AZ,85016,87850,564900
"Maricopa (County, 2022)",AZ,85017,58346,286700
"Maricopa (County, 2022)",AZ,85018,93885,862000
"Maricopa (County, 2022)",AZ,85019,68528,305200
"Maricopa (County, 2022)",AZ,85020,83735,447200
"Maricopa (County, 2022)",AZ,85021,59768,470400
"Maricopa (County, 2022)",AZ,85022,69927,425200
"Maricopa (County, 2022)",AZ,85023,77369,391200
"Maricopa (County, 2022)",AZ,85024,106724,471000
"Maricopa (County, 2022)",AZ,85027,76605,354800
"Maricopa (County, 2022)",AZ,85028,125054,642200
"Maricopa (County, 2022)",AZ,85029,64556,345600
"Maricopa (County, 2022)",AZ,85031,70412,294800
"Maricopa (County, 2022)",AZ,85032,78643,416800
"Maricopa (County, 2022)",AZ,85033,64144,292800
"Maricopa (County, 2022)",AZ,85034,63559,422200
"Maricopa (County, 2022)",AZ,85035,60440,275600
"Maricopa (County, 2022)",AZ,85037,84016,330200
"Maricopa (County, 2022)",AZ,85040,60727,329800
"Maricopa (County, 2022)",AZ,85041,75301,347100
"Maricopa (County, 2022)",AZ,85042,88717,398000
"Maricopa (County, 2022)",AZ,85043,78257,343400
"Maricopa (County, 2022)",AZ,85044,96820,474800
"Maricopa (County, 2022)",AZ,85045,153583,634600
"Maricopa (County, 2022)",AZ,85048,122833,592100
"Maricopa (County, 2022)",AZ,85050,139836,618600
"Maricopa (County, 2022)",AZ,85051,69189,326300
"Maricopa (County, 2022)",AZ,85053,70011,367000
"Maricopa (County, 2022)",AZ,85054,91507,687200
"Maricopa (County, 2022)",AZ,85083,149087,612700
"Maricopa (County, 2022)",AZ,85085,128984,669100
"Maricopa (County, 2022)",AZ,85086,121676,598900
"Maricopa (County, 2022)",AZ,85087,138566,552300
"Maricopa (County, 2022)",AZ,85201,67294,328800
"Maricopa (County, 2022)",AZ,85202,71619,370900
"Maricopa (County, 2022)",AZ,85203,73578,439100
"Maricopa (County, 2022)",AZ,85204,72216,351300
"Maricopa (County, 2022)",AZ,85205,73283,339900
"Maricopa (County, 2022)",AZ,85206,75607,357900
"Maricopa (County, 2022)",AZ,85207,108699,505000
"Maricopa (County, 2022)",AZ,85208,69390,286200
"Maricopa (County, 2022)",AZ,85209,84432,402900
"Maricopa (County, 2022)",AZ,85210,61957,337800
"Maricopa (County, 2022)",AZ,85212,125902,584000
"Maricopa (County, 2022)",AZ,85213,103969,438900
"Maricopa (County, 2022)",AZ,85215,98831,441000
"Maricopa (County, 2022)",AZ,85224,94516,438700
"Maricopa (County, 2022)",AZ,85225,88676,430400
"Maricopa (County, 2022)",AZ,85226,114817,483800
"Maricopa (County, 2022)",AZ,85233,111160,513000
"Maricopa (County, 2022)",AZ,85234,121102,550900
"Maricopa (County, 2022)",AZ,85248,94495,527800
"Maricopa (County, 2022)",AZ,85249,153633,660600
"Maricopa (County, 2022)",AZ,85250,95761,583300
"Maricopa (County, 2022)",AZ,85251,92851,554400
"Maricopa (County, 2022)",AZ,85253,184979,2000001
"Maricopa (County, 2022)",AZ,85254,123203,785700
"Maricopa (County, 2022)",AZ,85255,140616,1036800
"Maricopa (County, 2022)",AZ,85256,44844,190500
"Maricopa (County, 2022)",AZ,85257,86962,506300
"Maricopa (County, 2022)",AZ,85258,114111,846000
"Maricopa (County, 2022)",AZ,85259,137895,1011200
"Maricopa (County, 2022)",AZ,85260,97177,698200
"Maricopa (County, 2022)",AZ,85262,177790,1287300
"Maricopa (County, 2022)",AZ,85263,145053,851000
"Maricopa (County, 2022)",AZ,85264,60729,369200
"Maricopa (County, 2022)",AZ,85266,151923,1128500
"Maricopa (County, 2022)",AZ,85268,112795,623400
"Maricopa (County, 2022)",AZ,85281,64538,381000
"Maricopa (County, 2022)",AZ,85282,79036,412000
"Maricopa (County, 2022)",AZ,85283,84568,442800
"Maricopa (County, 2022)",AZ,85284,156146,688400
"Maricopa (County, 2022)",AZ,85286,121758,601900
"Maricopa (County, 2022)",AZ,85295,118467,579500
"Maricopa (County, 2022)",AZ,85296,118982,561400
"Maricopa (County, 2022)",AZ,85297,130755,600600
"Maricopa (County, 2022)",AZ,85298,156425,652400
"Maricopa (County, 2022)",AZ,85301,53827,255300
"Maricopa (County, 2022)",AZ,85302,65132,364100
"Maricopa (County, 2022)",AZ,85303,80650,333600
"Maricopa (County, 2022)",AZ,85304,86927,379700
"Maricopa (County, 2022)",AZ,85305,88167,452300
"Maricopa (County, 2022)",AZ,85306,84779,392500
"Maricopa (County, 2022)",AZ,85307,82888,395700
"Maricopa (County, 2022)",AZ,85308,95247,458100
"Maricopa (County, 2022)",AZ,85310,122137,552900
"Maricopa (County, 2022)",AZ,85320,47731,472100
"Maricopa (County, 2022)",AZ,85322,75417,354300
"Maricopa (County, 2022)",AZ,85323,83120,370200
"Maricopa (County, 2022)",AZ,85326,89876,373300
"Maricopa (County, 2022)",AZ,85329,36399,240000
"Maricopa (County, 2022)",AZ,85331,129083,741700
"Maricopa (County, 2022)",AZ,85333,39722,206900
"Maricopa (County, 2022)",AZ,85335,78050,321900
"Maricopa (County, 2022)",AZ,85337,55365,116500
"Maricopa (County, 2022)",AZ,85338,101744,436300
"Maricopa (County, 2022)",AZ,85339,110602,441600
"Maricopa (County, 2022)",AZ,85340,122323,547500
"Maricopa (County, 2022)",AZ,85345,67380,319800
"Maricopa (County, 2022)",AZ,85351,53725,274000
"Maricopa (County, 2022)",AZ,85353,94154,388700
"Maricopa (County, 2022)",AZ,85354,64203,330800
"Maricopa (County, 2022)",AZ,85355,123055,494000
"Maricopa (County, 2022)",AZ,85361,77361,412400
"Maricopa (County, 2022)",AZ,85363,68321,320000
"Maricopa (County, 2022)",AZ,85373,72063,348500
"Maricopa (County, 2022)",AZ,85374,81201,395400
"Maricopa (County, 2022)",AZ,85375,63928,377900
"Maricopa (County, 2022)",AZ,85377,149167,1077500
"Maricopa (County, 2022)",AZ,85378,56444,274500
"Maricopa (County, 2022)",AZ,85379,110616,448200
"Maricopa (County, 2022)",AZ,85381,96746,447900
"Maricopa (County, 2022)",AZ,85382,91525,438300
"Maricopa (County, 2022)",AZ,85383,145546,661400
"Maricopa (County, 2022)",AZ,85387,98757,481000
"Maricopa (County, 2022)",AZ,85388,112164,459900
