Selected Location,SitsinState,zip_code,median_income,median_home_value,price_to_income_ratio
"Maricopa (County, 2022)",AZ,85003,60461,616800,10.201617571657764
"Maricopa (County, 2022)",AZ,85004,73750,417400,5.659661016949152
"Maricopa (County, 2022)",AZ,85006,58248,408100,7.006249141601429
"Maricopa (County, 2022)",AZ,85007,63616,480600,7.554703219315895
"Maricopa (County, 2022)",AZ,85008,66353,358000,5.395385287779
"Maricopa (County, 2022)",AZ,85009,52054,236100,4.535674491873824
"Maricopa (County, 2022)",AZ,85012,86620,735000,8.485338259062573
"Maricopa (County, 2022)",AZ,85013,71966,567700,7.888447322346663
"Maricopa (County, 2022)",AZ,85014,66731,476100,7.1346150964319435
"Maricopa (County, 2022)",AZ,85015,54874,345000,6.287130517184823
"Maricopa (County, 2022)",AZ,85016,87850,564900,6.430278884462151
"Maricopa (County, 2022)",AZ,85017,58346,286700,4.913790148424914
"Maricopa (County, 2022)",AZ,85018,93885,862000,9.181445385311818
"Maricopa (County, 2022)",AZ,85019,68528,305200,4.453653980854541
"Maricopa (County, 2022)",AZ,85020,83735,447200,5.340658028303577
"Maricopa (County, 2022)",AZ,85021,59768,470400,7.87043233837505
"Maricopa (County, 2022)",AZ,85022,69927,425200,6.080626939522645
"Maricopa (County, 2022)",AZ,85023,77369,391200,5.056288694438341
"Maricopa (County, 2022)",AZ,85024,106724,471000,4.413252876578839
"Maricopa (County, 2022)",AZ,85027,76605,354800,4.631551465309053
"Maricopa (County, 2022)",AZ,85028,125054,642200,5.13538151518544
"Maricopa (County, 2022)",AZ,85029,64556,345600,5.353491542226903
"Maricopa (County, 2022)",AZ,85031,70412,294800,4.186786343236948
"Maricopa (County, 2022)",AZ,85032,78643,416800,5.299899546049871
"Maricopa (County, 2022)",AZ,85033,64144,292800,4.56472935894238
"Maricopa (County, 2022)",AZ,85034,63559,422200,6.642646989411413
"Maricopa (County, 2022)",AZ,85035,60440,275600,4.559894109861019
"Maricopa (County, 2022)",AZ,85037,84016,330200,3.930203770710341
"Maricopa (County, 2022)",AZ,85040,60727,329800,5.4308627134553
"Maricopa (County, 2022)",AZ,85041,75301,347100,4.609500537841463
"Maricopa (County, 2022)",AZ,85042,88717,398000,4.486175141179255
